GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FreightFlow API,com.freightflow.shared.pagination,PageResponse.Meta,0,15,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.shared.pagination,PageResponse,0,26,0,0,0,4,0,2,0,2
FreightFlow API,com.freightflow.modules.shipment.dto,ShipmentResponse,0,79,0,0,0,15,0,2,0,2
FreightFlow API,com.freightflow.modules.shipment.dto,TrackingResponse,30,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.shipment.dto,CreateShipmentRequest,0,27,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.shipment.dto,TrackingResponse.TrackingEvent,15,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.shipment.dto,UpdateShipmentRequest,0,15,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.port.dto,PortResponse,42,0,0,0,9,0,2,0,2,0
FreightFlow API,com.freightflow.shared.security,UserPrincipal,23,38,0,0,7,12,7,6,7,6
FreightFlow API,com.freightflow.shared.security,JwtAuthenticationFilter,46,30,6,2,9,11,4,4,0,4
FreightFlow API,com.freightflow.shared.security,JwtTokenProvider,148,4,2,0,44,1,6,1,5,1
FreightFlow API,com.freightflow.modules.event.dto,CreateEventRequest,15,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.event.dto,EventResponse,49,0,0,0,10,0,2,0,2,0
FreightFlow API,com.freightflow.modules.alert,Alert,55,0,0,0,20,0,11,0,11,0
FreightFlow API,com.freightflow.modules.voyage.dto,UpdateVoyageRequest,18,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.voyage.dto,CreateVoyageRequest,21,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.voyage.dto,VoyageResponse,104,0,0,0,20,0,2,0,2,0
FreightFlow API,com.freightflow.modules.alert.enums,AlertType,33,0,0,0,6,0,1,0,1,0
FreightFlow API,com.freightflow.modules.alert.enums,Severity,27,0,0,0,5,0,1,0,1,0
FreightFlow API,com.freightflow.modules.voyage.enums,VoyageStatus,0,39,0,0,0,7,0,1,0,1
FreightFlow API,com.freightflow.modules.vessel.enums,VesselType,0,27,0,0,0,5,0,1,0,1
FreightFlow API,com.freightflow.modules.auth.dto,UserResponse,0,52,0,0,0,10,0,2,0,2
FreightFlow API,com.freightflow.modules.auth.dto,RefreshRequest,0,6,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.auth.dto,AuthResponse.UserInfo,0,21,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.auth.dto,AuthResponse,0,26,0,0,0,3,0,2,0,2
FreightFlow API,com.freightflow.modules.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.auth.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.config,JwtProperties,33,0,0,0,10,0,7,0,7,0
FreightFlow API,com.freightflow.config,CorsProperties,0,14,0,0,0,4,0,3,0,3
FreightFlow API,com.freightflow.config,OpenApiConfig,56,0,0,0,19,0,2,0,2,0
FreightFlow API,com.freightflow.config,SecurityConfig,0,164,0,0,0,31,0,8,0,8
FreightFlow API,com.freightflow.modules.voyage,VoyageService,292,0,18,0,58,0,24,0,15,0
FreightFlow API,com.freightflow.modules.voyage,Voyage,114,44,6,0,32,15,22,4,19,4
FreightFlow API,com.freightflow.modules.voyage,VoyageController,60,0,0,0,12,0,7,0,7,0
FreightFlow API,com.freightflow.modules.csvimport.dto,ImportResult,0,33,0,0,0,5,0,2,0,2
FreightFlow API,com.freightflow.modules.csvimport.dto,ImportResult.ImportError,0,12,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.csvimport.dto,ImportResult.ImportedShipment,0,27,0,0,0,1,0,1,0,1
FreightFlow API,com.freightflow.modules.csvimport.dto,CsvShipmentRow,62,214,23,27,10,47,23,17,1,14
FreightFlow API,com.freightflow.modules.port,Port,18,33,0,0,6,12,6,4,6,4
FreightFlow API,com.freightflow.modules.port,PortController,48,0,0,0,9,0,6,0,6,0
FreightFlow API,com.freightflow.modules.port,PortService,94,0,0,0,25,0,9,0,9,0
FreightFlow API,com.freightflow.shared.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
FreightFlow API,com.freightflow.shared.exception,ResourceNotFoundException,6,7,0,0,2,2,1,1,1,1
FreightFlow API,com.freightflow.shared.exception,GlobalExceptionHandler,30,76,0,0,10,20,2,6,2,6
FreightFlow API,com.freightflow.shared.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
FreightFlow API,com.freightflow.modules.vessel.dto,CreateVesselRequest,18,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.vessel.dto,UpdateVesselRequest,15,0,0,0,1,0,1,0,1,0
FreightFlow API,com.freightflow.modules.vessel.dto,VesselResponse,53,0,0,0,11,0,2,0,2,0
FreightFlow API,com.freightflow,FreightFlowApplication,5,3,0,0,2,1,1,1,1,1
FreightFlow API,com.freightflow.modules.shipment,Shipment,107,95,13,0,24,34,21,15,12,15
FreightFlow API,com.freightflow.modules.shipment,TrackingController,12,0,0,0,4,0,2,0,2,0
FreightFlow API,com.freightflow.modules.shipment,ShipmentController,7,43,0,0,1,10,1,5,1,5
FreightFlow API,com.freightflow.modules.vessel,Vessel,60,32,0,0,21,11,13,2,13,2
FreightFlow API,com.freightflow.modules.vessel,VesselController,59,0,0,0,12,0,7,0,7,0
FreightFlow API,com.freightflow.modules.vessel,VesselService,220,0,12,0,40,0,18,0,12,0
FreightFlow API,com.freightflow.modules.shipment.enums,ShipmentStatus,0,57,0,0,0,10,0,1,0,1
FreightFlow API,com.freightflow.modules.shipment.enums,ContainerType,0,33,0,0,0,6,0,1,0,1
FreightFlow API,com.freightflow.modules.webhook,WebhookSubscription,116,0,6,0,35,0,19,0,16,0
FreightFlow API,com.freightflow.modules.shipment.service,ShipmentService,84,233,1,11,17,49,6,16,5,11
FreightFlow API,com.freightflow.modules.event,Event,52,0,0,0,18,0,10,0,10,0
FreightFlow API,com.freightflow.modules.event,EventController,36,0,0,0,9,0,5,0,5,0
FreightFlow API,com.freightflow.modules.event,EventService,166,0,8,0,36,0,12,0,8,0
FreightFlow API,com.freightflow.modules.csvimport,ImportController,0,41,0,0,0,11,0,4,0,4
FreightFlow API,com.freightflow.modules.csvimport,ImportService,50,410,4,32,8,95,5,22,1,8
FreightFlow API,com.freightflow.modules.event.enums,EventType,51,0,0,0,9,0,1,0,1,0
FreightFlow API,com.freightflow.modules.auth,AuthService,11,333,1,13,1,72,2,16,1,10
FreightFlow API,com.freightflow.modules.auth,Tenant,32,33,0,0,12,12,8,4,8,4
FreightFlow API,com.freightflow.modules.auth,User.UserRole,0,21,0,0,0,2,0,1,0,1
FreightFlow API,com.freightflow.modules.auth,ApiKey,89,0,6,0,29,0,20,0,17,0
FreightFlow API,com.freightflow.modules.auth,AuthController,0,41,0,0,0,11,0,5,0,5
FreightFlow API,com.freightflow.modules.auth,User,27,68,0,0,11,25,5,12,5,12
